"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"WAF","WEST AFRICAN RESOURCES LIMITED","2010-06-11","Materials",1202551683
"WAK","WA KAOLIN LIMITED","2020-11-26","Materials",63170556
"WAM","WAM CAPITAL LIMITED","1999-08-12","Not Applic",1728668811
"WAR","WAM STRATEGIC VALUE LIMITED","2021-06-28","Not Applic",182827647
"WAT","WATERCO LIMITED","1989-03-23","Consumer Durables & Apparel",141002916
"WAX","WAM RESEARCH LIMITED","2003-08-19","Not Applic",252281204
"WBC","WESTPAC BANKING CORPORATION","1970-07-18","Banks",83059851643
"WBE","WHITEBARK ENERGY LTD","2004-03-10","Energy",7314886
"WBT","WEEBIT NANO LTD","2010-12-21","Technology Hardware & Equipment",823057653
"WC1","WEST COBAR METALS LIMITED","2021-10-01","Materials",16718391
"WC8","WILDCAT RESOURCES LIMITED","2004-08-04","Materials",18536636
"WCG","WEBCENTRAL LTD","1999-12-14","Software & Services",45785262
"WCN","WHITE CLIFF MINERALS LIMITED","2007-12-14","Materials",9039422
"WDS","WOODSIDE ENERGY GROUP LTD","1971-11-18","Energy",70842353956
"WEB","WEBJET LIMITED","1997-11-19","Retailing",2631851010
"WEC","WHITE ENERGY COMPANY LIMITED","1999-07-23","Energy",10142323
"WEL","WINCHESTER ENERGY LTD","2014-09-23","Energy",9091978
"WES","WESFARMERS LIMITED","1984-11-15","Retailing",55976936055
"WFL","WELLFULLY LIMITED","2000-05-29","Pharmaceuticals, Biotechnology & Life Sciences",7822965
"WGB","WAM GLOBAL LIMITED","2018-06-22","Not Applic",649781952
"WGN","WAGNERS HOLDING COMPANY LIMITED","2017-12-08","Materials",147280652
"WGO","WARREGO ENERGY LIMITED","2007-12-12","Energy",493248930
"WGR","WESTERN GOLD RESOURCES LIMITED.","2021-07-23","Materials",5940375
"WGX","WESTGOLD RESOURCES LIMITED.","2016-12-06","Materials",565979162
"WHC","WHITEHAVEN COAL LIMITED","2007-06-01","Energy",8038839535
"WHF","WHITEFIELD INDUSTRIALS LIMITED","1971-08-02","Not Applic",579928828
"WHK","WHITEHAWK LIMITED","2018-01-24","Retailing",16233367
"WIA","WIA GOLD LIMITED","2011-03-09","Materials",28043576
"WIN","WIDGIE NICKEL LIMITED","2021-09-22","Materials",90364618
"WKT","WALKABOUT RESOURCES LTD","2006-11-07","Materials",67289010
"WLD","WELLARD LIMITED","2015-12-10","Food, Beverage & Tobacco",39843773
"WLE","WAM LEADERS LIMITED","2016-05-30","Not Applic",1713434062
"WMA","WAM ALTERNATIVE ASSETS LIMITED","2014-06-16","Not Applic",210478702
"WMC","WILUNA MINING CORPORATION LIMITED.","2006-09-28","Materials","N/A"
"WMG","WESTERN MINES GROUP LTD","2021-07-20","Materials",7848000
"WMI","WAM MICROCAP LIMITED","2017-06-28","Not Applic",327670261
"WML","WOOMERA MINING LIMITED","2005-09-15","Materials",19123224
"WNR","WINGARA AG LTD","1990-01-31","Food, Beverage & Tobacco",11410263
"WNX","WELLNEX LIFE LIMITED","2017-03-15","Food, Beverage & Tobacco",30615220
"WOA","WIDE OPEN AGRICULTURE LTD","2018-07-06","Food, Beverage & Tobacco",28556355
"WOO","WOOBOARD TECHNOLOGIES LIMITED","2015-07-09","Software & Services",1379729
"WOR","WORLEY LIMITED","2002-11-28","Energy",8248704571
"WOT","WOTSO PROPERTY","2011-10-28","Real Estate",220536393
"WOW","WOOLWORTHS GROUP LIMITED","1993-07-12","Food & Staples Retailing",42260393714
"WPR","WAYPOINT REIT","2016-08-03","Real Estate",1874368166
"WQG","WCM GLOBAL GROWTH LIMITED","2017-06-23","Not Applic",205022222
"WR1","WINSOME RESOURCES LIMITED","2021-11-30","Materials",335097063
"WRK","WRKR LTD","2016-12-19","Software & Services",27974959
"WRM","WHITE ROCK MINERALS LIMITED","2010-10-08","Materials",17460728
"WSI","WESTSTAR INDUSTRIAL LIMITED","2006-06-07","Materials",22153048
"WSP","WHISPIR LIMITED","2019-06-19","Software & Services",59086326
"WSR","WESTAR RESOURCES LIMITED","2020-12-17","Materials",3902478
"WTC","WISETECH GLOBAL LIMITED","2016-04-11","Software & Services",18346600780
"WTL","WT FINANCIAL GROUP LIMITED","2015-03-09","Diversified Financials",32724926
"WTN","WINTON LAND LIMITED","2021-12-17","Real Estate",735602065
"WWG","WISEWAY GROUP LIMITED","2018-10-31","Transportation",9033869
"WWI","WEST WITS MINING LIMITED","2007-12-19","Materials",36810678
"WYX","WESTERN YILGARN NL","2007-05-25","Materials",8307863
"WZR","WISR LIMITED","1989-03-16","Diversified Financials",90865717
"X2M","X2M CONNECT LIMITED","2021-09-22","Technology Hardware & Equipment",15130981
"X64","TEN SIXTY FOUR LIMITED","2003-12-23","Materials",150739579
"XAM","XANADU MINES LTD","2010-12-21","Materials",45219950
"XF1","XREF LIMITED","2007-04-18","Software & Services",53991124
"XPN","XPON TECHNOLOGIES GROUP LIMITED","2021-12-16","Software & Services",42505144
"XRF","XRF SCIENTIFIC LIMITED","2006-10-31","Capital Goods",113009139
"XRG","XREALITY GROUP LTD","2013-01-18","Consumer Services",24985891
"XRO","XERO LIMITED","2012-11-08","Software & Services",11139990964
"XST","XSTATE RESOURCES LIMITED","1988-01-14","Energy",6430363
"XTC","XANTIPPE RESOURCES LIMITED","2007-08-15","Materials",61752208
"XTE","XTEK LIMITED.","2005-09-15","Capital Goods",75303660
"YAL","YANCOAL AUSTRALIA LIMITED","2012-06-28","Energy",8582856341
"YBR","YELLOW BRICK ROAD HOLDINGS LIMITED","2008-01-31","Banks",26763279
"YOJ","YOJEE LIMITED","2010-12-02","Software & Services",44205034
"YOW","YOWIE GROUP LTD","1999-09-15","Food, Beverage & Tobacco",10054123
"YPB","YPB GROUP LTD","2005-03-07","Commercial & Professional Services",1219638
"YRL","YANDAL RESOURCES LIMITED","2018-12-14","Materials",15464702
"Z2U","ZOOM2U TECHNOLOGIES LIMITED","2021-09-10","Software & Services",16471804
"ZAG","ZULEIKA GOLD LIMITED","2010-08-23","Materials",9414911
"ZEO","ZEOTECH LIMITED","2009-10-16","Materials",67268932
"ZER","ZETA RESOURCES LIMITED","2013-06-12","Not Applic",158085381
"ZEU","ZEUS RESOURCES LIMITED","2013-01-21","Energy","N/A"
"ZEUN","ZEUS RESOURCES LIMITED","2013-01-21","Energy","N/A"
"ZGL","ZICOM GROUP LIMITED","1970-11-12","Capital Goods",13088160
"ZIM","ZIMPLATS HOLDINGS LIMITED","1998-10-15","Materials",3094582409
"ZIP","ZIP CO LIMITED..","2009-12-09","Diversified Financials",505141471
"ZLD","ZELIRA THERAPEUTICS LIMITED","2003-07-28","Pharmaceuticals, Biotechnology & Life Sciences",10055972
"ZMI","ZINC OF IRELAND NL","2007-09-18","Materials",6721417
"ZMM","ZIMI LIMITED","2007-09-10","Technology Hardware & Equipment",5165627
"ZNC","ZENITH MINERALS LIMITED","2007-05-29","Materials",87926511
"ZNO","ZOONO GROUP LIMITED","1988-07-21","Materials",15857896
